,File Name,Shape,No IMFs,Time,RMSE,PSNR,SSIM,Variation Of Information,Adapted Rand Error
0,DATA/00025.jpg,"(453, 604)",9,83.7722545,1.52e-14,54.2545854370751,0.9995411662669158,[0.96020101 0.9598524 ],"(0.3024535446420846, 0.6973444365993501, 0.6977485911989525)"
1,DATA/00026.jpg,"(417, 628)",9,112.70435829999998,1.87e-14,55.64283848512328,0.9990657505218035,[0.80521076 0.80451688],"(0.21451302410958883, 0.7851146871873108, 0.7858596178275887)"
2,DATA/00027.jpg,"(418, 630)",9,199.3822767,1.72e-14,56.144099136912416,0.9994494255316951,[0.6696831  0.66808463],"(0.10039306663636416, 0.8991928555557841, 0.9000213927123856)"
3,DATA/00028.jpg,"(412, 620)",9,82.33957,1.87e-14,48.67692898569787,0.9970111734509245,[1.62453905 1.62134202],"(0.31328373126053555, 0.685484124086499, 0.6879528508818094)"
4,DATA/00030.jpg,"(592, 896)",10,202.3983842,1.6890004578231314e-14,54.752108236626086,0.9997033769140622,[0.81121946 0.80281323],"(0.22996435834084228, 0.7638714657912319, 0.7763001123629285)"
5,DATA/00032.jpg,"(375, 500)",8,75.07706040000002,1.4946312470625612e-14,57.5676512784139,0.9993945288697071,[0.60920466 0.60901025],"(0.18870254874274317, 0.8112205351250449, 0.8113743819765067)"
6,DATA/00034.jpg,"(480, 640)",9,161.45835580000005,1.8774832275872357e-14,49.78588459605181,0.9979581341736082,[1.38927081 1.38272994],"(0.28827526368321366, 0.706243589126497, 0.7172916271848864)"
7,DATA/00036.jpg,"(250, 580)",8,64.03394759999998,1.5622396144513586e-14,57.12567213719218,0.9995846419287016,[0.61672309 0.61713396],"(0.17733915558290236, 0.8226689486976332, 0.8226527402962346)"
8,DATA/00037.jpg,"(425, 640)",9,87.1882707,1.5343697530058072e-14,52.61079054206139,0.9990230848765922,[1.20212439 1.20006531],"(0.39335919656417295, 0.6062442175535508, 0.6070379085257515)"
9,DATA/00038.jpg,"(360, 480)",9,77.75565409999999,1.631316913649653e-14,55.553851237001226,0.9994334584952457,[0.82076161 0.82017977],"(0.24595757611795155, 0.7538986328502343, 0.7541862697748325)"
10,DATA/00039.jpg,"(425, 640)",9,79.2880429,1.7930328096417177e-14,53.86658809379902,0.9990774543628155,[1.08652167 1.08533723],"(0.4064804001752047, 0.5931565567979612, 0.5938830875266682)"
11,DATA/00040.jpg,"(469, 750)",9,130.90640080000003,1.4477090954475874e-14,54.71393491719845,0.9991575861520597,[0.92470917 0.92317156],"(0.3078321179250959, 0.691355996546019, 0.6929816767015615)"
12,DATA/00041.jpg,"(480, 640)",9,109.4621474,1.5611836500326216e-14,46.34124011293893,0.9932838065934266,[2.13493219 2.12782748],"(0.6326528577904104, 0.36606778667401946, 0.3686354714430443)"
13,DATA/00042.jpg,"(452, 640)",9,107.52791079999996,2.1166952264567782e-14,46.52738591950941,0.9960929545868151,[2.10356634 2.10014215],"(0.3014407375109692, 0.7028803021610823, 0.6942910264041418)"
14,DATA/00043.jpg,"(417, 596)",9,84.48924710000007,1.1784908600895271e-14,56.26353839188985,0.9990389080338867,[0.76287286 0.7626539 ],"(0.2548299731445165, 0.745174226957478, 0.7451658268008357)"
15,DATA/00044.jpg,"(439, 659)",9,100.70879880000008,1.9483776730528883e-14,54.70399962027031,0.9985952794158655,[0.96919682 0.96762451],"(0.3332990880274229, 0.6660987826582303, 0.6673041308783121)"
