File Name,IMF Spot,Interpolation Method,Mean Frequency,Variance Frequency,Rows,Cols,Channels,Median Frequency,Skewness Frequency,Kurtosis Frequency,Mean Color,Variance Color,Median Color,Skewness Color,Kurtosis Color
00662.jpg,IMF 1,Bicubic,65818.75015880378,64236763276.71931,480,640,2,20776.8102825818,1.9358144256387296e+17,7.920839384388392e+23,19.100766995651405,222841.12147226883,-0.01607359108816285,798554712.5303245,9956162456590.791
00662.jpg,IMF 2,Lanczos4,87890.69276923698,113236737189.08627,480,640,2,27737.539818562353,4.2933712263263104e+17,2.1312164237758827e+24,-27.4264447187038,393002.7089599834,-0.005734899759022841,-1713181248.491559,26839465324074.492
00662.jpg,IMF 3,Lanczos4,47013.060751344216,29677969113.675995,480,640,2,15362.985278794624,5.294232003886383e+16,1.1958830925935313e+23,-4.06900329229802,103786.16780493374,-0.037378671395744405,72072959.94422509,1569154305615.0378
00662.jpg,IMF 4,Bicubic,51967.3131854427,38667415784.202835,480,640,2,16893.375866132188,8.079947583875584e+16,2.1383305873791675e+23,-0.5295872170498608,134661.23458919174,-0.025672050942122174,-132843936.31406046,3802050425021.6025
00662.jpg,IMF 5,Bicubic,33656.254725122664,15467720414.278948,480,640,2,10946.17052771015,1.986060215570152e+16,3.2848196458637857e+22,13.369098561810434,53859.23561640924,0.7285397860709328,246869947.31647614,2023371259513.046
00662.jpg,IMF 6,Lanczos4,16838.243773761882,5458585860.449168,480,640,2,5060.215469369257,8548529276752775.0,4.199145044125081e+22,32.43887424422973,17639.49129269478,6.903681226749185,17677495.67121419,52833345159.422295
00662.jpg,IMF 7,Bicubic,12579.10513311084,4855568562.861744,480,640,2,3624.6323164085434,2.263819814452313e+16,3.238829681992276e+23,57.21481481981602,13047.436478192754,26.708032107345574,8563113.265118644,14326982342.706757
00662.jpg,IMF 8,Bicubic,4890.681851503724,1076348755.678659,480,640,2,1276.699484290194,1614369740714250.8,7.313400649513555e+21,21.944647952595286,3100.032441377563,0.0,472817.8941657266,154019495.14592192
00662.jpg,IMF 9,Bicubic,1279.221191568806,96890886.754975,480,640,2,318.48109315992156,21666050371032.797,5.913174729277157e+18,1.7946549195738195,317.5060809459963,0.0,71504.33287706222,18917500.00816878
00662.jpg,IMF 10,Gaussian,1.2349578002465157e-11,4.1956900421494914e-23,480,640,2,1.1580052218525433e-11,1.7447533350276208e-34,5.762599059028356e-45,-2.408952666973126e-17,6.330364550477852e-28,0.0,-1.3596915332932558e-40,3.546578152624305e-52
00663.jpg,IMF 1,Lanczos4,5053.886002370286,51571293.2262756,500,700,2,2644.503429630059,2340643607188.2007,3.244607946879941e+17,-0.07525888782368208,220.31735596046047,0.0016952503343992814,-8780.765362317186,8487404.192397863
00663.jpg,IMF 2,Lanczos4,6559.531151976,134978732.66606066,500,700,2,2294.53718364987,8033341179624.8545,1.1633822204786194e+18,-0.27756921698825143,508.512045614935,-0.0012288971970661478,7881.8686672297845,83581316.052619
00663.jpg,IMF 3,Lanczos4,6115.061034863746,190621089.3779804,500,700,2,1873.264646873074,23277532402192.207,8.279584384140857e+18,0.4491330059973553,651.2698819374647,-0.003897817427216241,79270.68193562822,53381358.42299204
00663.jpg,IMF 4,Bicubic,6230.355875714948,282712402.5205138,500,700,2,1958.4482817724456,58106198904610.516,3.416215729953307e+19,0.39783418453762276,918.4981189860974,-0.023915479664605943,13459.446422696547,74901380.03634045
00663.jpg,IMF 5,Bicubic,5805.211924637417,342626023.7865062,500,700,2,1734.1541636443467,58673457373188.66,1.946143736148222e+19,0.3307787820617133,1075.1091833300773,-0.006746245095673138,81868.88227979059,74410936.61350434
00663.jpg,IMF 6,Bicubic,6542.496851071355,640614593.1866418,500,700,2,1973.7176421311076,218415944231189.62,1.488940137641023e+20,4.103562678981826,1935.7860825765829,0.5224390963079739,198767.5665876087,117586863.34198377
00663.jpg,IMF 7,Bicubic,7423.99333004014,1713544552.964551,500,700,2,2083.204900498261,4350875945309239.5,3.668827324568781e+22,30.2045092443167,4141.0025639643645,14.561389590090553,159712.85259136898,211986210.8318827
